id,actors_m,headline,coder_name
930,0,"lily allen's pain at the hell of camp calais is something we should all be
feeling;
i provoked a similar reaction when i went there to work on a report for the one
show. twitter went mad with fury at my sympathy for ­immigrants",C1
1481,1,"brexit: premier league and fa at odds over immigration exemptions for foreign
football stars",C1
832,0,"syrian refugees flee across lebanon border from homs;
it did not take long for abu hassan to decide to leave the place he has always
called home, a village outside the devastated syrian city of homs.",C1
1140,0,"easy win for merkel, harder lesson for may;
the german leader shows that with self-examination and imagination the pm can
appeal to the young",C1
918,0,"society: time is the healer: imagine having your health and housing problems
both addressed by your doctor. debbie andalo on a pioneering trade-off that
guarantees 30 minutes with the gp",C1
462,0,"the bbc replaced a eurovision tribute to refugees with a clip of mel giedroyc
eating meatballs;
a syrian refugee has spoken of his shock that the bbc chose to ignore a dance
about refugees in favour of a sketch about meatballs",C1
313,0,"catholic church leader condemns 'slow' response to refugee crisis;
cardinal vincent nichols says public's generosity has far outstripped
government's response to plight of refugees",C1
1429,1,"brexitland: the truth from well-to-do fareham: this was no working-class
uprising;
as he continues his journey around leave-voting areas, owen jones finds
middle-class brexiters variously motivated, but happy with the choice they made
· brexitland: people can't find homes. no wonder they were angry· brexitland:
'too many foreigners - way, way too many'",C1
512,1,illegal immigrant jailed for rape after judges let him stay in britain,C1
281,0,"comment is free: in brief: the orangutan 'joke', and why racism is alive and
well in italy",C1
538,0,"uk population goes up by 1,150 every day;
63.7m now living here ; fastest growth in eu",C2
1000,1,uk launches £2m project in greece to send back migrants,C2
196,1,"mrs t: let in whites only;
secret papers show anti-asian bias",C2
559,1,"fast-food chains barred from using foreign workers on 457 visas;
peter dutton announces end to labour agreement as part of crackdown on visa
regulations, saying 'australian workers... must be given priority'",C2
937,1,"g2: shortcuts: human rights: transport: picking a fight for burmese fruit
pickers",C2
939,0,bbc under fire again,C2
342,1,blunkett pledges tougher asylum curbs,C2
394,1,us bid is refused,C2
321,1,"35,000-strong cop force to guard our borders;
exclusive call to strengthen anti-terror laws",C2
1230,1,"cameron fails to win support of polish pm for his plan to change eu benefit
rules - politics live;
rolling coverage of all the day's political developments as they happen",C2
1423,1,"picking on migrants;
voice of the voice@mirror.co.uk",C3
50,0,"un warns european unity at risk as borders close to refugees;
central european neighbours turn ugly as thousands fleeing war are shunted
between croatia, slovenia and hungary",C3
1486,0,"sending cash home: mobile money is a gamechanger;
with more mobile money accounts than bank accounts in burundi, alix murphy says
the country is a good testing ground for trialling remittances by mobile",C3
599,1,"asylum war;
 blunkett fights brown over pounds 858m crisis plan",C3
561,,bishop: we're no racists,C3
95,0,"jesus, mary and joseph were indeed asylum-seekers",C3
865,0,"migrants in crime spree;
arrests",C3
1044,0,dvd reviews,C3
1231,0,'will she be fined just as we were?',C3
1313,1,"anti-trump petition to stop uk state visit passes 1m signatures;
as online campaign gathers support, downing street confirms pm will not be
withdrawing invitation to us president",C3
976,1,"it is nato - not the eu - that keeps britain safe;
europhile scaremongers claim brexit will harm our security, but brussels has now
become a hindrance",C4
254,0,"moaning vinnie;
jones rant about england's weather and immigrants",C4
1289,0,"switzerland tax system set for overhaul;
wealthy foreigners can still enjoy special low-tax rates in switzerland but the
amount they pay is set to increase.",C4
1340,1,"identity cards won't stop the terrorists: they're only a fig leaf there are both
practical and principled reasons for opposing david blunkett's plan, says
stephen robinson",C4
1236,1,"immigration q&a;
ministers have decided to keep the points-based system, which was introduced by
labour in 2008, but are making the criteria much tougher.",C4
583,0,"society: living for today: people from all over the world are now squatting in
empty 'des res' properties in the uk to avoid cripplingly high rents in urban
centres",C4
1172,0,"camp still closed to somali refugees;
world bulletin",C4
35,1,"as long as the tories carry on their grim anti-immigrant posturing, their
'racist party' image will remain",C4
109,0,"islamic state setting up terror training camps in europe, police agency warns;
the terrorist group is planning more mass strikes on the continent and could
recruit vulnerable refugees to carry out attacks, europol report said",C4
1376,0,europe's nomads but not by choice,C4
1211,1,"sex education updated for the internet age;
labour party conference schools",C5
629,0,"the world must unite like a 'flock of geese', says china's xi jinping;
president urges the world to cooperate, as germany warns it could refuse to sign
up to the belt and road initiative unless free tenders are guaranteed",C5
1041,0,"arab uprisings: tunisians burn and loot un camp full of libyan war refugees:
migrants who escaped fighting are left without shelter as resentment boils over",C5
758,0,"number of foreign nationals on benefits soars to 400,000;
the number of foreign nationals claiming benefits such as jobseeker's allowance
has jumped by 40 per cent in just four years to more than 400,000, new
government figures have disclosed.",C5
1274,0,"france's and portugal's colonial heritage brings african flavour to euro 2016;
sunday night's final at the stade de france will feature two nations with
several players whose families have made their homes in the modern europe",C5
1212,0,africans offered pounds 4m to take asylum seekers,C5
487,1,"undecided voters like how corbyn talks - but don't like what he says;
the new labour leader is no great advocate of focus groups, but he might be
interested in how he's perceived on the economy and immigration",C5
1408,0,"gardai swoop on 101 illegals;
 immigrants held after series of dawn raids",C5
1186,0,refugees top policy agenda as merkel tries to unite party,C5
381,1,"hate tories? angry at immigrants? the problem is you, not them;
the rallying cry of 'tory scum', like other senseless hatreds, is a mask for
labour's own inadequacies",C5
252,0,migrant ship skipper to be grilled on trafficking barons,C6
659,0,"our perilous voyage to help besieged rebels at the heart of libya's struggle;
libya crisis",C6
661,0,"radiohead's burn the witch may be critique of refugee crisis, says animator;
virpi kettu suggests the band's latest video and title could allude to the
'blaming of different people'",C6
453,0,"fancy a pint of the sexy stuff;
 foreigners claim extra-strong guinness is like liquid viagra",C6
45,0,the ear-opening sound of a different agenda,C6
675,0,post-brexit britain will offer more for start-ups,C6
1384,1,"labour 'in need of working class voice like prescott's' message carwyn jones;
exclusive",C6
867,0,migrant dies trying to swim across the channel to england,C6
1271,1,undercutting wages: uk staff need protection - labour,C6
866,0,ed's just a yolk on immigration,C6
1334,0,"200,000 cut in migrants",C7
4,0,"archbishop of canterbury, dr rowan williams: cv;
profile of the archbishop of canterbury, dr rowan williams, who today announced
he is stepping down as leader of the anglican church.",C7
140,0,australia says sorry to war child migrants,C7
1003,1,"british asian ukip youth leader quits 'racist' and 'terrifying' ukip;
sanya-jeet thandi, who defended her support of ukip on channel four news, says
the party is now appealing to 'stupidity of ignorant anti-immigrant voters for
electoral gain'",C7
71,0,prodi warns of eu deadlock,C7
54,0,"passport colour has uk in pickle;
madeuthink what we're all saying",C7
1202,0,"asylum seeker in 50ft jump threat;
 man trashes flat then tells gardai: send me up a pint",C7
692,1,"top tory's heartless plan to put pensioners to work picking fruit;
owen paterson put forward the idea as a way of cutting eastern european
immigration and even said they should be paid less than the minimum wage",C7
1327,1,blunkett wins fight to detain asylum seekers,C7
996,0,"police officer who found syrian toddler: 'i prayed he was still alive';
sgt mehmet ciplak speaks for first time about finding aylan kurdi's lifeless
body on beach near bodrum",C7
1473,1,massacre algerian seeks asylum here,C8
1187,0,"refugee sews up his lips, eyes and ears",C8
